kamera1;kamera2;kamera1_koord;kamera2_koord
F1;F1;47.736861467104, 18.369289524965;47.736861467104, 18.369289524965
F1;F11;47.736861467104, 18.369289524965;46.974156304231, 16.379539316509
F1;F12;47.736861467104, 18.369289524965;47.82243068262, 18.98717170425
F1;F13;47.736861467104, 18.369289524965;47.683196594979, 18.097306861786
F1;F14;47.736861467104, 18.369289524965;47.745363022052, 17.647400881226
F1;F15;47.736861467104, 18.369289524965;48.031849194332, 19.807710583946
F1;F17;47.736861467104, 18.369289524965;48.293129223365, 20.448498019056
F1;F2;47.736861467104, 18.369289524965;47.725765423977, 18.046694497329
F1;F20;47.736861467104, 18.369289524965;48.376345640262, 21.633176054916
F1;F23;47.736861467104, 18.369289524965;47.144221988453, 21.675450249618
F1;F26;47.736861467104, 18.369289524965;46.655024556317,21.225962687052
F1;F27J;47.736861467104, 18.369289524965;46.378973739396, 20.247963372239
F1;F3;47.736861467104, 18.369289524965;47.884396938888, 17.241676802774
F1;F30;47.736861467104, 18.369289524965;46.803526155586, 18.928004380753
F1;F34;47.736861467104, 18.369289524965;45.8784138959, 18.236275560019
F1;F37;47.736861467104, 18.369289524965;47.635056880418, 16.652330516763
F1;F39;47.736861467104, 18.369289524965;47.288863417887, 16.610039047667
F1;F4;47.736861467104, 18.369289524965;47.934507652422, 19.139606641347
F1;F41;47.736861467104, 18.369289524965;47.910361887547, 17.251715607309
F1;F43;47.736861467104, 18.369289524965;46.683815901125, 20.183667378285
F1;F45BJ;47.736861467104, 18.369289524965;47.11432337191, 17.848645761646
F1;F46J;47.736861467104, 18.369289524965;47.653506839605, 17.416740354468
F1;F47B;47.736861467104, 18.369289524965;47.297160417543, 16.832093255331
F1;F47J;47.736861467104, 18.369289524965;47.297002459483, 16.831835285078
F1;F48;47.736861467104, 18.369289524965;48.0530521654, 19.0114679159
F1;F51;47.736861467104, 18.369289524965;48.0794121975, 19.3191435939
F1;F55;47.736861467104, 18.369289524965;47.3981145129, 19.3601850460
F1;F56;47.736861467104, 18.369289524965;47.4059475850, 16.5285647459
F1;F58;47.736861467104, 18.369289524965;47.348734, 19.120951
F1;F59;47.736861467104, 18.369289524965;47.142844, 18.531573
F1;F6;47.736861467104, 18.369289524965;47.152434273387, 20.196192733715
F1;F8;47.736861467104, 18.369289524965;46.231269471029, 20.081542735727
F1;F9;47.736861467104, 18.369289524965;45.967191886124, 17.524083222114
F1;Gy10B;47.736861467104, 18.369289524965;48.050402819184, 20.851648270691
F1;Gy10J;47.736861467104, 18.369289524965;48.048597304585, 20.852645963515
