;kamera1;kamera2;kamera1_koord;kamera2_koord;distance;duration
0;F1;F1;47.736861467104, 18.369289524965;47.736861467104, 18.369289524965;0;0
1;F1;F2;47.736861467104, 18.369289524965;47.725765423977, 18.046694497329;25958;1827
2;F1;F3;47.736861467104, 18.369289524965;47.884396938888, 17.241676802774;114973;4825
3;F1;F4;47.736861467104, 18.369289524965;47.934507652422, 19.139606641347;96696;5606
4;F1;F5;47.736861467104, 18.369289524965;48.437441677622, 21.183738300599;290278;11463
5;F1;F6;47.736861467104, 18.369289524965;47.152434273387, 20.196192733715;191286;7211
6;F1;F7;47.736861467104, 18.369289524965;48.343852343168, 22.129595653448;358043;14062
7;F1;F8;47.736861467104, 18.369289524965;46.231269471029, 20.081542735727;249214;9004
8;F1;F9;47.736861467104, 18.369289524965;45.967191886124, 17.524083222114;298942;11672
9;F1;F10;47.736861467104, 18.369289524965;46.437667890627, 16.747927021544;286688;10146
10;F1;F11;47.736861467104, 18.369289524965;46.974156304231, 16.379539316509;216538;8524
11;F1;F12;47.736861467104, 18.369289524965;47.82243068262, 18.98717170425;74472;4550
12;F1;F13;47.736861467104, 18.369289524965;47.683196594979, 18.097306861786;26139;1727
13;F1;F14;47.736861467104, 18.369289524965;47.745363022052, 17.647400881226;71475;3201
14;F1;F15;47.736861467104, 18.369289524965;48.031849194332, 19.807710583946;166044;8067
15;F1;F16;47.736861467104, 18.369289524965;48.25793719325, 20.350423487823;247271;12198
16;F1;F17;47.736861467104, 18.369289524965;48.293129223365, 20.448498019056;254974;12345
17;F1;F18;47.736861467104, 18.369289524965;47.60481625158, 20.779148307593;212148;9626
18;F1;F19;47.736861467104, 18.369289524965;47.913879672699, 21.073258954162;238826;9838
19;F1;F20;47.736861467104, 18.369289524965;48.376345640262, 21.633176054916;317346;13191
20;F1;F21;47.736861467104, 18.369289524965;48.066597247215, 21.53206912197;308341;12163
21;F1;F22;47.736861467104, 18.369289524965;48.089160008212, 22.27659217874;345345;12924
22;F1;F23;47.736861467104, 18.369289524965;47.144221988453, 21.675450249618;315889;12865
23;F1;F24;47.736861467104, 18.369289524965;46.167056244213, 20.627359497593;293605;10681
24;F1;F25;47.736861467104, 18.369289524965;46.876397341333, 20.022332770319;192602;7771
25;F1;F26;47.736861467104, 18.369289524965;46.655024556317,21.225962687052;296878;11535
26;F1;F27B;47.736861467104, 18.369289524965;46.379079490009, 20.248264839326;262790;9619
27;F1;F27J;47.736861467104, 18.369289524965;46.378973739396, 20.247963372239;262816;9620
28;F1;F28;47.736861467104, 18.369289524965;47.526258855137, 21.919988317573;316151;13252
29;F1;F29;47.736861467104, 18.369289524965;47.857086975049, 22.637265932974;369173;14860
30;F1;F30;47.736861467104, 18.369289524965;46.803526155586, 18.928004380753;156074;6074
31;F1;F31;47.736861467104, 18.369289524965;46.263345770897, 19.533663359931;241646;9982
32;F1;F32;47.736861467104, 18.369289524965;46.201513590529, 18.820681199919;238252;8409
33;F1;F33;47.736861467104, 18.369289524965;45.971233620929, 18.673734618994;265528;9295
34;F1;F34;47.736861467104, 18.369289524965;45.8784138959, 18.236275560019;302091;10609
35;F1;F35;47.736861467104, 18.369289524965;46.058445164555, 17.448098903741;296536;11625
36;F1;F36;47.736861467104, 18.369289524965;46.702458506694, 16.788524126318;231011;10042
37;F1;F37;47.736861467104, 18.369289524965;47.635056880418, 16.652330516763;158563;6038
38;F1;F38;47.736861467104, 18.369289524965;46.811901582638, 16.565857119342;225835;9091
39;F1;F39;47.736861467104, 18.369289524965;47.288863417887, 16.610039047667;175218;6759
40;F1;F40;47.736861467104, 18.369289524965;47.245496499058, 16.534248410882;179494;6953
41;F1;F41;47.736861467104, 18.369289524965;47.910361887547, 17.251715607309;117246;4949
42;F1;F42;47.736861467104, 18.369289524965;46.195044659138, 20.448144697766;275849;10168
43;F1;F43;47.736861467104, 18.369289524965;46.683815901125, 20.183667378285;224296;8632
44;F1;F45BJ;47.736861467104, 18.369289524965;47.11432337191, 17.848645761646;109633;6222
